                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  10 Data Points per Second

File Name:        R&D-061519-jeremy-differentdoses 76
Date & Time:     6/15/2019 6:03:08 PM

Sample No.,Barcode,Time ( .1s),Temperature,
Counts
 76 ,N1074   , 0 ,36.00,0
 76 ,N1074   , 0.1 ,35.00,1
 76 ,N1074   , 0.2 ,34.33,1
 76 ,N1074   , 0.3 ,33.89,0
 76 ,N1074   , 0.4 ,33.59,0
 76 ,N1074   , 0.5 ,33.40,1
 76 ,N1074   , 0.6 ,33.60,0
 76 ,N1074   , 0.7 ,33.40,0
 76 ,N1074   , 0.8 ,33.27,1
 76 ,N1074   , 0.9 ,33.18,0
 76 ,N1074   , 1 ,33.45,0
 76 ,N1074   , 1.1 ,33.30,1
 76 ,N1074   , 1.2 ,32.87,1
 76 ,N1074   , 1.3 ,32.91,0
 76 ,N1074   , 1.4 ,32.94,0
 76 ,N1074   , 1.5 ,33.29,1
 76 ,N1074   , 1.6 ,32.86,0
 76 ,N1074   , 1.7 ,32.91,1
 76 ,N1074   , 1.8 ,32.94,0
 76 ,N1074   , 1.9 ,32.63,0
 76 ,N1074   , 2 ,32.75,1
 76 ,N1074   , 2.1 ,32.83,0
 76 ,N1074   , 2.2 ,32.89,0
 76 ,N1074   , 2.3 ,32.59,0
 76 ,N1074   , 2.4 ,32.73,1
 76 ,N1074   , 2.5 ,32.82,0
 76 ,N1074   , 2.6 ,32.88,1
 76 ,N1074   , 2.7 ,33.25,0
 76 ,N1074   , 2.8 ,33.17,0
 76 ,N1074   , 2.9 ,33.11,0
 76 ,N1074   , 3 ,32.74,1
 76 ,N1074   , 3.1 ,32.83,0
 76 ,N1074   , 3.2 ,32.89,1
 76 ,N1074   , 3.3 ,32.92,0
 76 ,N1074   , 3.4 ,32.95,0
 76 ,N1074   , 3.5 ,33.30,1
 76 ,N1074   , 3.6 ,33.20,0
 76 ,N1074   , 3.7 ,33.13,0
 76 ,N1074   , 3.8 ,33.42,1
 76 ,N1074   , 3.9 ,33.28,0
 76 ,N1074   , 4 ,33.19,0
 76 ,N1074   , 4.1 ,33.13,1
 76 ,N1074   , 4.2 ,33.08,0
 76 ,N1074   , 4.3 ,33.39,1
 76 ,N1074   , 4.4 ,33.93,0
 76 ,N1074   , 4.5 ,35.28,0
 76 ,N1074   , 4.6 ,35.52,1
 76 ,N1074   , 4.7 ,36.35,0
 76 ,N1074   , 4.8 ,36.90,0
 76 ,N1074   , 4.9 ,37.93,1
 76 ,N1074   , 5 ,38.96,1
 76 ,N1074   , 5.1 ,39.64,0
 76 ,N1074   , 5.2 ,40.09,0
 76 ,N1074   , 5.3 ,40.39,1
 76 ,N1074   , 5.4 ,40.60,0
 76 ,N1074   , 5.5 ,40.73,0
 76 ,N1074   , 5.6 ,40.82,1
 76 ,N1074   , 5.7 ,40.55,0
 76 ,N1074   , 5.8 ,40.70,0
 76 ,N1074   , 5.9 ,41.13,1
 76 ,N1074   , 6 ,41.42,0
 76 ,N1074   , 6.1 ,41.61,1
 76 ,N1074   , 6.2 ,41.74,0
 76 ,N1074   , 6.3 ,41.50,1
 76 ,N1074   , 6.4 ,41.66,0
 76 ,N1074   , 6.5 ,41.78,1
 76 ,N1074   , 6.6 ,42.18,0
 76 ,N1074   , 6.7 ,42.46,1
 76 ,N1074   , 6.8 ,42.97,0
 76 ,N1074   , 6.9 ,43.31,0
 76 ,N1074   , 7 ,43.21,1
 76 ,N1074   , 7.1 ,43.14,0
 76 ,N1074   , 7.2 ,43.09,1
 76 ,N1074   , 7.3 ,43.06,0
 76 ,N1074   , 7.4 ,43.04,0
 76 ,N1074   , 7.5 ,43.69,1
 76 ,N1074   , 7.6 ,43.80,0
 76 ,N1074   , 7.7 ,43.86,1
 76 ,N1074   , 7.8 ,43.91,0
 76 ,N1074   , 7.9 ,43.94,1
 76 ,N1074   , 8 ,43.96,0
 76 ,N1074   , 8.1 ,44.31,0
 76 ,N1074   , 8.2 ,44.20,1
 76 ,N1074   , 8.3 ,44.47,0
 76 ,N1074   , 8.4 ,44.31,1
 76 ,N1074   , 8.5 ,44.88,0
 76 ,N1074   , 8.6 ,45.25,0
 76 ,N1074   , 8.7 ,45.17,1
 76 ,N1074   , 8.8 ,45.11,0
 76 ,N1074   , 8.9 ,45.41,0
 76 ,N1074   , 9 ,45.60,1
 76 ,N1074   , 9.1 ,45.40,0
 76 ,N1074   , 9.2 ,44.94,0
 76 ,N1074   , 9.3 ,44.96,1
 76 ,N1074   , 9.4 ,45.64,0
 76 ,N1074   , 9.5 ,45.76,0
 76 ,N1074   , 9.6 ,45.84,0
 76 ,N1074   , 9.7 ,46.23,1
 76 ,N1074   , 9.8 ,46.15,0
 76 ,N1074   , 9.9 ,46.43,1
 76 ,N1074   , 10 ,46.62,0
 76 ,N1074   , 10.1 ,46.75,0
 76 ,N1074   , 10.2 ,46.83,1
 76 ,N1074   , 10.3 ,46.89,0
 76 ,N1074   , 10.4 ,46.93,2
 76 ,N1074   , 10.5 ,46.95,0
 76 ,N1074   , 10.6 ,46.97,0
 76 ,N1074   , 10.7 ,46.98,1
 76 ,N1074   , 10.8 ,46.99,0
 76 ,N1074   , 10.9 ,47.32,0
 76 ,N1074   , 11 ,47.55,1
 76 ,N1074   , 11.1 ,47.70,0
 76 ,N1074   , 11.2 ,48.13,0
 76 ,N1074   , 11.3 ,47.76,1
 76 ,N1074   , 11.4 ,47.84,0
 76 ,N1074   , 11.5 ,48.22,1
 76 ,N1074   , 11.6 ,48.15,0
 76 ,N1074   , 11.7 ,48.43,0
 76 ,N1074   , 11.8 ,48.62,1
 76 ,N1074   , 11.9 ,48.75,0
 76 ,N1074   , 12 ,49.17,1
 76 ,N1074   , 12.1 ,49.11,0
 76 ,N1074   , 12.2 ,50.07,0
 76 ,N1074   , 12.3 ,49.72,1
 76 ,N1074   , 12.4 ,49.48,0
 76 ,N1074   , 12.5 ,49.32,0
 76 ,N1074   , 12.6 ,49.55,1
 76 ,N1074   , 12.7 ,50.03,0
 76 ,N1074   , 12.8 ,50.35,1
 76 ,N1074   , 12.9 ,50.57,0
 76 ,N1074   , 13 ,51.05,0
 76 ,N1074   , 13.1 ,51.36,1
 76 ,N1074   , 13.2 ,51.24,0
 76 ,N1074   , 13.3 ,51.16,1
 76 ,N1074   , 13.4 ,51.11,0
 76 ,N1074   , 13.5 ,51.41,0
 76 ,N1074   , 13.6 ,51.27,1
 76 ,N1074   , 13.7 ,51.51,0
 76 ,N1074   , 13.8 ,51.68,1
 76 ,N1074   , 13.9 ,51.45,0
 76 ,N1074   , 14 ,51.30,1
 76 ,N1074   , 14.1 ,51.20,0
 76 ,N1074   , 14.2 ,51.47,0
 76 ,N1074   , 14.3 ,51.98,1
 76 ,N1074   , 14.4 ,51.99,0
 76 ,N1074   , 14.5 ,52.66,1
 76 ,N1074   , 14.6 ,52.44,0
 76 ,N1074   , 14.7 ,52.96,1
 76 ,N1074   , 14.8 ,52.97,0
 76 ,N1074   , 14.9 ,53.31,1
 76 ,N1074   , 15 ,53.54,0
 76 ,N1074   , 15.1 ,53.03,1
 76 ,N1074   , 15.2 ,53.02,0
 76 ,N1074   , 15.3 ,53.35,0
 76 ,N1074   , 15.4 ,52.56,1
 76 ,N1074   , 15.5 ,52.71,0
 76 ,N1074   , 15.6 ,53.14,1
 76 ,N1074   , 15.7 ,53.76,0
 76 ,N1074   , 15.8 ,54.17,1
 76 ,N1074   , 15.9 ,54.45,1
 76 ,N1074   , 16 ,54.30,0
 76 ,N1074   , 16.1 ,54.53,0
 76 ,N1074   , 16.2 ,55.02,1
 76 ,N1074   , 16.3 ,55.01,0
 76 ,N1074   , 16.4 ,55.01,1
 76 ,N1074   , 16.5 ,55.01,0
 76 ,N1074   , 16.6 ,55.00,0
 76 ,N1074   , 16.7 ,55.00,1
 76 ,N1074   , 16.8 ,55.34,0
 76 ,N1074   , 16.9 ,55.56,1
 76 ,N1074   , 17 ,55.37,0
 76 ,N1074   , 17.1 ,55.25,0
 76 ,N1074   , 17.2 ,55.50,1
 76 ,N1074   , 17.3 ,55.33,0
 76 ,N1074   , 17.4 ,55.89,1
 76 ,N1074   , 17.5 ,56.26,0
 76 ,N1074   , 17.6 ,56.51,1
 76 ,N1074   , 17.7 ,57.00,0
 76 ,N1074   , 17.8 ,56.67,0
 76 ,N1074   , 17.9 ,56.45,1
 76 ,N1074   , 18 ,56.63,0
 76 ,N1074   , 18.1 ,56.75,1
 76 ,N1074   , 18.2 ,57.17,0
 76 ,N1074   , 18.3 ,57.45,1
 76 ,N1074   , 18.4 ,57.63,0
 76 ,N1074   , 18.5 ,57.75,1
 76 ,N1074   , 18.6 ,57.50,0
 76 ,N1074   , 18.7 ,57.34,0
 76 ,N1074   , 18.8 ,57.22,1
 76 ,N1074   , 18.9 ,57.48,1
 76 ,N1074   , 19 ,57.99,0
 76 ,N1074   , 19.1 ,57.99,1
 76 ,N1074   , 19.2 ,57.99,0
 76 ,N1074   , 19.3 ,58.66,1
 76 ,N1074   , 19.4 ,58.44,1
 76 ,N1074   , 19.5 ,58.29,0
 76 ,N1074   , 19.6 ,58.20,0
 76 ,N1074   , 19.7 ,58.46,1
 76 ,N1074   , 19.8 ,58.98,0
 76 ,N1074   , 19.9 ,59.32,1
 76 ,N1074   , 20 ,59.54,0
 76 ,N1074   , 20.1 ,59.36,0
 76 ,N1074   , 20.2 ,59.24,1
 76 ,N1074   , 20.3 ,59.49,0
 76 ,N1074   , 20.4 ,60.00,1
 76 ,N1074   , 20.5 ,60.00,0
 76 ,N1074   , 20.6 ,60.00,1
